,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
margen_reserva_lag14,OFERTA,119,1.4592577396374052e-05,True,0.12008201800638307,1811,4.070754330617699e-30,4.759651217337617e-29,True,0.004906545385357,0.0001172749718618915,0.20065789473684212,0.9603960396039604,0.9306930693069307,1,0,1,1,3,0.697249001215911
margen_reserva_lag7,OFERTA,118,1.402617575185167e-05,True,0.0990864854918021,1818,5.9722602040784e-28,6.26057621393046e-27,True,0.002793620071439249,0.0002164703903832499,0.15460526315789475,0.9438943894389439,0.9867986798679867,1,0,1,1,3,0.6950994441549417
gen_programada_lag7,OFERTA,98,0.003010120784554671,True,0.14212562619794689,1818,7.742380802543931e-24,5.884209409933388e-23,True,0.006877313421590164,6.814688035964301e-05,0.24013157894736842,0.9702970297029703,0.8679867986798679,1,0,1,1,3,0.6928051357767355
gen_seguridad_lag14,EXPOST,12,2.5706368206078293e-09,True,0.09591864354261848,1812,0.0015934005126248185,0.004527044447083596,True,0.0003662406694506448,7.598817011583714e-05,0.14802631578947367,0.9075907590759076,0.8844884488448845,1,0,1,1,3,0.6467018412367552
disp_declarada_d7,OFERTA,142,1.0969061812375593e-16,True,0.0225731478535236,1818,1.1902715542968775e-05,4.4127140549542775e-05,True,0.0025210418876324275,0.00014011917490309723,0.029605263157894735,0.9405940594059405,0.9504950495049505,1,0,1,1,3,0.6402314573562619
demanda_por_or_lag7,DEMANDA,94,0.0007705445345100034,True,0.13473143242146346,1819,3.0636378981356134e-24,2.4509103185084907e-23,True,0.003466828486983365,2.13149531934409e-05,0.2236842105263158,0.9471947194719472,0.7425742574257426,1,0,1,1,3,0.6378177291413352
gen_por_recurso_lag14,EXPOST,96,0.0002776167896190333,True,0.08821936283082987,1812,6.601027520052515e-24,5.145416323322986e-23,True,0.005986637963863504,3.779208268955836e-05,0.12828947368421054,0.966996699669967,0.8151815181518152,1,0,1,1,3,0.636822563835331
log_precio_lag14,AR,73,0.0539518850366934,False,0.7955373780720838,1812,5.260614560036884e-09,2.757287631467608e-08,True,0.008802845908329688,-0.0005259299179064425,0.7335526315789473,0.976897689768977,0.0231023102310231,1,1,1,0,3,0.5778508771929824
demanda_upme_medio_lag7,DEMANDA,36,0.0052608907509304045,True,1.0166302944390986,1819,0.598140263825105,0.6784874634434027,False,0.0,9.386623529208382e-05,0.8914473684210527,0.4471947194719472,0.9108910891089109,0,1,0,1,2,0.7498443923339703
demanda_upme_medio_lag30,DEMANDA,55,0.00428865709207612,True,1.0091375268716276,1796,0.1931700511732267,0.2769985639465138,False,0.0,5.3904468405008286e-05,0.881578947368421,0.4471947194719472,0.8448844884488449,0,1,0,1,2,0.7245527184297377
demanda_upme_medio_lag3,DEMANDA,37,0.0054352788757990565,True,0.9768133036751281,1823,0.954409095672217,0.9575589606744355,False,0.0,5.55313341817687e-05,0.8519736842105263,0.4471947194719472,0.8481848184818482,0,1,0,1,2,0.7157844073881073
trm_lag14,COSTO,43,0.12802281161483287,False,0.5792082622367194,1812,0.004092119305725735,0.010542409058818841,True,0.00015814932408076752,7.286414082097181e-07,0.6546052631578947,0.8943894389438944,0.5841584158415841,1,0,1,0,2,0.7110510393144578
capacidad_por_embalse_lag30,HIDRO,121,0.20331525626867764,False,0.8664575249620157,1796,0.9188113630522134,0.927968951388282,False,0.0010793084088830233,-2.33342872846265e-07,0.7664473684210527,0.9207920792079208,0.40594059405940597,0,1,1,0,2,0.6977266805627931
oni_lag1,HIDRO,59,0.7605831800337453,False,1.0010889636888485,1825,0.13127379399847994,0.2015516837148379,False,0.00023874181004900126,-9.552405222368331e-06,0.8717105263157895,0.8976897689768977,0.30363036303630364,0,1,1,0,2,0.691010219442997
precio_prom_contrato_d7,CONTRATOS,134,2.0205673486060338e-14,True,0.16897172183182363,1818,0.20273816551595042,0.2827174418204079,False,0.0038079128511585565,4.1338494418941e-05,0.2730263157894737,0.9504950495049505,0.8184818481848185,0,0,1,1,2,0.6806677378264142
mc_lag0,REGULATORIO,60,0.8556210258983685,False,1.0624411122866286,1826,0.012665310183756748,0.029391254166885893,True,0.0,2.2204460492503132e-17,0.9539473684210527,0.4471947194719472,0.5396039603960396,1,1,0,0,2,0.6469153494296799
volumen_por_embalse_lag14,HIDRO,85,0.0005044551210943603,True,0.5184999406901736,1812,0.0038903694500718026,0.010108310365998529,True,0.0,8.293131475634041e-05,0.5953947368421053,0.4471947194719472,0.8943894389438944,1,0,0,1,2,0.645659631752649
volumen_util_pct_d7,HIDRO,32,0.00037238452131722844,True,0.292432288614755,1818,1.185080317915611e-12,7.831835144485778e-12,True,0.0,0.00010408649740761833,0.4375,0.4471947194719472,0.9207920792079208,1,0,0,1,2,0.6018289328932894
precio_escasez_lag0,REGULATORIO,64,0.9295738163381778,False,0.91526047682399,1826,0.022162413021487453,0.047913701389572794,True,0.0,2.2204460492503132e-17,0.8092105263157895,0.4471947194719472,0.5396039603960396,1,1,0,0,2,0.5986697353945921
