,bloque,grupo_corr,adf_pvalue,estacionaria,mi,mi_n_obs,granger_p,granger_p_fdr,granger_signif,lasso_abs,perm_imp,r_mi,r_lasso,r_perm,voto_granger,voto_mi,voto_lasso,voto_perm,votos,score
demanda_upme_bajo_lag7,DEMANDA,36,0.003225925367477661,True,0.9222828696277139,1819,0.6086706683664271,0.6853180858644217,False,0.0,-1.8620017856552094e-05,0.8157894736842105,0.4471947194719472,0.26732673267326734,0,1,0,0,1,0.5101036419431416
volumen_util_pct_lag3,HIDRO,85,0.0003254279166693063,True,0.5811653424655225,1823,4.431124385083627e-06,1.7494309260589907e-05,True,0.0,-4.3419061903637866e-07,0.6611842105263158,0.4471947194719472,0.39603960396039606,1,0,0,0,1,0.5014728446528863
exportaciones_lag3,EXPOST,50,7.956083132864968e-06,True,0.21615341623416162,1688,0.12742018661510887,0.19793254110291802,False,0.0,1.9284342931202848e-05,0.3223684210526316,0.4471947194719472,0.7293729372937293,0,0,0,1,1,0.49964535927276943
volumen_por_embalse_lag2,HIDRO,85,0.0004814576664232672,True,0.5940445015130318,1824,4.028567908877261e-08,2.0411410738311455e-07,True,0.0,-2.12654790474609e-06,0.6776315789473685,0.4471947194719472,0.37293729372937295,1,0,0,0,1,0.4992545307162295
gen_fuera_merito_d7,EXPOST,139,1.3714338558701793e-20,True,0.04427802397087088,1818,0.6264604791134198,0.7001617119502928,False,0.0,0.0001560814569162683,0.05921052631578947,0.4471947194719472,0.9636963696369637,0,0,0,1,1,0.4900338718082335
volumen_util_pct_emb_lag1,HIDRO,85,0.000325847399351977,True,0.6181301768014271,1825,4.858478781580285e-10,2.7351436103711236e-09,True,0.0,-6.590241473858338e-06,0.6842105263157895,0.4471947194719472,0.3234323432343234,1,0,0,0,1,0.4849458630073534
importaciones_d7,EXPOST,153,1.0479994037872798e-15,True,0.07872079117315423,1651,0.3294175086720982,0.42433441795049937,False,0.0,7.377452527794759e-05,0.11842105263157894,0.4471947194719472,0.8778877887788779,0,0,0,1,1,0.481167853627468
gen_seguridad_lag2,EXPOST,8,2.016143904327216e-09,True,0.08838110354592388,1824,0.14952572921796878,0.22502882020922033,False,0.0,6.756075684019036e-05,0.13157894736842105,0.4471947194719472,0.8646864686468647,0,0,0,1,1,0.4811533784957443
compras_contrato_lag30,CONTRATOS,123,0.3895503484854387,False,0.20350713052302627,1796,4.314092288843126e-34,2.1858067596805174e-32,True,0.0,7.641066879515713e-06,0.3092105263157895,0.4471947194719472,0.6864686468646864,1,0,0,0,1,0.4809579642174744
volumen_util_pct_lag2,HIDRO,85,0.00032060689062722716,True,0.5860645528554267,1824,3.074214290129139e-07,1.3743546238224387e-06,True,0.0,-1.0770933448311926e-05,0.6710526315789473,0.4471947194719472,0.297029702970297,1,0,0,0,1,0.4717590180070639
demanda_regulada_d7,DEMANDA,144,1.827269518488338e-21,True,0.03840973355536281,1818,0.3670768915393075,0.45734170093421916,False,0.0,8.709097341116356e-05,0.05263157894736842,0.4471947194719472,0.900990099009901,0,0,0,1,1,0.46693879914307224
log_precio_lag30,AR,82,0.04880803996868919,True,0.5803813823459492,1796,1.8117345997559672e-09,9.662584532031825e-09,True,0.0,-1.1886149813988834e-05,0.6578947368421053,0.4471947194719472,0.29042904290429045,1,0,0,0,1,0.46517283307278096
compras_contrato_lag3,CONTRATOS,124,0.25482270639009297,False,0.20288424580396658,1823,1.459800137260193e-32,3.698160347725822e-31,True,0.0,2.5595679180034914e-06,0.3059210526315789,0.4471947194719472,0.6336633663366337,1,0,0,0,1,0.4622597128133867
aportes_pct_sistema_lag14,HIDRO,24,2.541103205791262e-07,True,0.22400830249814607,1812,0.04216999958580742,0.08378875734696377,True,0.0,1.298753041112377e-06,0.32894736842105265,0.4471947194719472,0.6039603960396039,1,0,0,0,1,0.4600341613108679
exportaciones_d7,EXPOST,152,1.3079843072288912e-16,True,0.11346122687620408,1611,0.3543768135599734,0.4488772971759663,False,0.0,1.9774370407654728e-05,0.1875,0.4471947194719472,0.735973597359736,0,0,0,1,1,0.45688943894389444
consumo_combustible_d7,EXPOST,140,1.1127270686505836e-13,True,0.0784873727982287,1818,0.06208280243366539,0.11795732462396424,False,0.0,3.226493601485858e-05,0.11513157894736842,0.4471947194719472,0.7854785478547854,0,0,0,1,1,0.449268282091367
dem_no_atendida_noprog_lag2,EXPOST,156,0.0,True,0.030439407616293934,1472,0.2360356172979122,0.3174992374272801,False,0.0,6.156938908288278e-05,0.039473684210526314,0.4471947194719472,0.8547854785478548,0,0,0,1,1,0.4471512940767761
volumen_util_pct_lag14,HIDRO,85,0.00033528830431491755,True,0.5177103566846677,1812,0.0004968230087888078,0.0015411652517530363,True,0.0,-9.945424802437764e-06,0.5921052631578947,0.4471947194719472,0.30033003300330036,1,0,0,0,1,0.4465433385443807
